,xG,npxG,goals,xA,assists,key_passes,shots,xGChain,minutes,team_xGA,team_xG,opponent_xGA,opponent_xG,team_goals_conceded,team_goals_scored,saves,opponent_attack_strength,opponent_defense_strength,points
1838,0.0,0.0,0,0.11501464992761612,0,1,0,0.07572133839130403,90,1.3139399999999999,0.7993680000000001,43.14924539672211,49.14518130477518,1.0,0.0,0.0,1150.0,1210.0,1.0
1863,0.09474603086709976,0.09474603086709976,1,0.08807417005300522,0,3,2,0.20172764360904694,90,2.4339,0.9950399999999999,43.14924539672211,49.14518130477518,3.0,1.0,0.0,1150.0,1210.0,8.0
1868,0.024931466206908226,0.024931466206908226,0,0.053394515067338943,0,1,2,0.053394515067338943,65,0.661135,1.11296,43.14924539672211,49.14518130477518,1.0,1.0,0.0,1130.0,1220.0,2.0
767,0.0,0.0,0,0.0,0,0,0,0.0,23,1.3139399999999999,0.7993680000000001,43.14924539672211,49.14518130477518,0.0,0.0,0.0,1150.0,1210.0,1.0
1892,0.039525993168354034,0.039525993168354034,0,0.09361450374126434,0,1,1,0.13314048945903778,87,2.30744,0.168796,43.14924539672211,49.14518130477518,3.0,0.0,0.0,1130.0,1220.0,2.0
1925,0.0,0.0,0,0.0,0,0,0,0.0,15,1.3139399999999999,0.7993680000000001,43.14924539672211,49.14518130477518,0.0,0.0,0.0,1150.0,1210.0,1.0
1998,0.011246541514992714,0.011246541514992714,0,0.02394518256187439,0,1,1,0.5466184020042419,90,0.661135,1.11296,43.14924539672211,49.14518130477518,1.0,1.0,0.0,1130.0,1220.0,2.0
1745,0.12024494260549545,0.12024494260549545,0,0.09835651516914368,0,3,3,0.8964176177978516,90,1.94485,2.25414,43.14924539672211,49.14518130477518,3.0,1.0,0.0,1130.0,1220.0,2.0
835,0.7009931206703186,0.7009931206703186,2,0.0,0,0,2,0.7009931206703186,26,0.161161,2.43732,43.14924539672211,49.14518130477518,0.0,3.0,0.0,1130.0,1220.0,12.0
1389,0.1235181987285614,0.1235181987285614,0,0.20963893830776212,0,3,3,0.8147896528244019,64,0.33118800000000004,2.08868,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1130.0,1220.0,3.0
1343,0.11982809007167815,0.11982809007167815,0,0.1947471648454666,0,4,3,0.8964176177978516,90,1.94485,2.25414,43.14924539672211,49.14518130477518,3.0,1.0,0.0,1130.0,1220.0,2.0
930,0.058213267475366585,0.058213267475366585,0,0.06425207853317261,0,1,2,0.22778840363025665,90,2.4339,0.9950399999999999,43.14924539672211,49.14518130477518,3.0,1.0,0.0,1150.0,1210.0,2.0
935,0.033642623573541634,0.033642623573541634,0,0.32196831703186035,1,1,2,0.3556109368801117,90,0.661135,1.11296,43.14924539672211,49.14518130477518,1.0,1.0,0.0,1130.0,1220.0,5.0
950,0.1461237370967865,0.1461237370967865,0,0.0,0,0,3,0.1461237370967865,65,1.93838,0.315121,43.14924539672211,49.14518130477518,1.0,0.0,0.0,1150.0,1210.0,2.0
